FC City,L3,Error_Description
CHOMU,Camphor,Time Series Formed is very insignificant
CHOMU,Cashew Nuts,Time Series Formed is very insignificant
CHOMU,Children Health Drinks,Time Series Formed is very insignificant
CHOMU,Chips,Time Series Formed is very insignificant
CHOMU,Chocolates,Time Series Formed is very insignificant
CHOMU,Cleaning Brush & Utilities,Time Series Formed is very insignificant
CHOMU,Cold Drinks,Time Series Formed is very insignificant
CHOMU,Condensed Milk,Time Series Formed is very insignificant
CHOMU,Crafts Glues,Time Series Formed is very insignificant
CHOMU,Cream Biscuits & Wafers,Time Series Formed is very insignificant
CHOMU,Dates,Time Series Formed is very insignificant
CHOMU,Detergent Bars,Time Series Formed is very insignificant
CHOMU,Detergent Powders,Time Series Formed is very insignificant
CHOMU,Dishwash Bars,Time Series Formed is very insignificant
CHOMU,Dishwash Liquids,Time Series Formed is very insignificant
CHOMU,Dishwash Powders,Time Series Formed is very insignificant
CHOMU,Dishwash Scrub Pads,Time Series Formed is very insignificant
CHOMU,Fabric Softeners,Time Series Formed is very insignificant
CHOMU,Face Creams & Moisturisers,Time Series Formed is very insignificant
CHOMU,Face Wash,Time Series Formed is very insignificant
CHOMU,Flavoured Milk,Time Series Formed is very insignificant
CHOMU,Floor Cleaners,Time Series Formed is very insignificant
CHOMU,Glass Cleaners,Time Series Formed is very insignificant
CHOMU,Glucose & Milk Biscuits,Time Series Formed is very insignificant
CHOMU,Hair Colors & Dyes,Time Series Formed is very insignificant
CHOMU,Hair Oils,Time Series Formed is very insignificant
CHOMU,Hand Wash,Time Series Formed is very insignificant
CHOMU,Honey,Time Series Formed is very insignificant
CHOMU,Infant Formulae,Time Series Formed is very insignificant
CHOMU,Instant Coffee,Time Series Formed is very insignificant
CHOMU,Ketchups,Time Series Formed is very insignificant
CHOMU,Lassi,Time Series Formed is very insignificant
CHOMU,Leaf Tea,Time Series Formed is very insignificant
CHOMU,Maida,Time Series Formed is very insignificant
CHOMU,Mango Drinks,Time Series Formed is very insignificant
CHOMU,Milk Creams,Time Series Formed is very insignificant
CHOMU,Milk Powders,Time Series Formed is very insignificant
CHOMU,Milk Shakes,Time Series Formed is very insignificant
CHOMU,Mints & Gums,Time Series Formed is very insignificant
CHOMU,Multipurpose Cleaners,Time Series Formed is very insignificant
CHOMU,Mustard Oil,Time Series Formed is very insignificant
CHOMU,Namkeen,Time Series Formed is very insignificant
CHOMU,Noodles,Time Series Formed is very insignificant
CHOMU,Oats & Porridge,Time Series Formed is very insignificant
CHOMU,"Oils, Creams & Lotions",Time Series Formed is very insignificant
CHOMU,Orange Juices,Time Series Formed is very insignificant
CHOMU,Other Biscuits & Cookies,Time Series Formed is very insignificant
CHOMU,Other Dry Fruits & Nuts,Time Series Formed is very insignificant
CHOMU,Other Juices,Time Series Formed is very insignificant
CHOMU,Other Kitchen Essentials,Time Series Formed is very insignificant
CHOMU,Poha,Time Series Formed is very insignificant
CHOMU,Powdered Spices,Time Series Formed is very insignificant
CHOMU,Pure Cow Ghee,Time Series Formed is very insignificant
CHOMU,Pure Desi Ghee,Time Series Formed is very insignificant
CHOMU,Raisins,Time Series Formed is very insignificant
CHOMU,Razors & Blades,Time Series Formed is very insignificant
CHOMU,Rice Bran Oil,Time Series Formed is very insignificant
CHOMU,Rusk & Khari,Time Series Formed is very insignificant
CHOMU,Sabudana,Time Series Formed is very insignificant
CHOMU,Sanitary Pads,Time Series Formed is very insignificant
CHOMU,Shampoos,Time Series Formed is very insignificant
CHOMU,Sooji & Rava,Time Series Formed is very insignificant
CHOMU,Soya Oil,Time Series Formed is very insignificant
CHOMU,Sunflower Oil,Time Series Formed is very insignificant
CHOMU,Talcum Powders,Time Series Formed is very insignificant
CHOMU,Toilet Cleaners,Time Series Formed is very insignificant
CHOMU,Toor (Arhar) Dal,Time Series Formed is very insignificant
CHOMU,Toothbrushes,Time Series Formed is very insignificant
CHOMU,Toothpastes,Time Series Formed is very insignificant
CHOMU,Vanaspati,Time Series Formed is very insignificant
CHOMU,Walnuts,Time Series Formed is very insignificant
CHOMU,Wheat Atta,Time Series Formed is very insignificant
CHOMU,Whole Spices,Time Series Formed is very insignificant
CHOMU,Wipes,Time Series Formed is very insignificant
DEHRADUN,Basmati Rice,Time Series Formed is very insignificant
DEHRADUN,Coconut,Time Series Formed is very insignificant
DEHRADUN,Diapers & Pants,Time Series Formed is very insignificant
DEHRADUN,Digestive Care,Time Series Formed is very insignificant
DEHRADUN,First Aids,Time Series Formed is very insignificant
DEHRADUN,Onion,Time Series Formed is very insignificant
DEHRADUN,Other Rice Varieties,Time Series Formed is very insignificant
DEHRADUN,Pain Relief,Time Series Formed is very insignificant
DEHRADUN,Potato,Time Series Formed is very insignificant
DEHRADUN,Powders,Time Series Formed is very insignificant
DEHRADUN,Wipes,Time Series Formed is very insignificant
FARIDABAD,90 Days Pouch  Milk,Time Series Formed is very insignificant
FARIDABAD,Agarbatti & Dhoop,Time Series Formed is very insignificant
FARIDABAD,Air Fresheners,Time Series Formed is very insignificant
FARIDABAD,Almonds (Badam),Time Series Formed is very insignificant
FARIDABAD,Basmati Rice,Time Series Formed is very insignificant
FARIDABAD,Bathing Soaps,Time Series Formed is very insignificant
FARIDABAD,Battery,Time Series Formed is very insignificant
FARIDABAD,Besan & Sattu,Time Series Formed is very insignificant
FARIDABAD,Bleaches & Blues,Time Series Formed is very insignificant
FARIDABAD,Blended Masalas,Time Series Formed is very insignificant
