Date,City,L3,Net_Sales,Forecast_Level
2021-10-19,KAIKALUR,Hair Oils,,
2021-10-19,KAIKALUR,Bleaches & Blues,,
2021-10-19,KAIKALUR,Toothpastes,,
2021-10-19,KAIKALUR,Tooth Powders,,
2021-10-19,KAIKALUR,Toothbrushes,,
2021-10-19,KAIKALUR,Toilet Cleaners,,
2021-10-19,KAIKALUR,Dishwash Bars,,
2021-10-19,KAIKALUR,Dishwash Liquids,,
2021-10-19,KAIKALUR,Shampoos,,
2021-10-19,KAIKALUR,Talcum Powders,,
2021-10-19,KAIKALUR,Floor Cleaners,,
2021-10-19,KAIKALUR,Hand Wash,,
2021-10-19,KAIKALUR,Glass Cleaners,,
2021-10-19,KAIKALUR,Dishwash Powders,,
2021-10-19,KAIKALUR,Face Wash,,
2021-10-19,KAIKALUR,Body Lotions,,
2021-10-19,KAIKALUR,Detergent Powders,,
2021-10-19,KAIKALUR,Detergent Bars,,
2021-10-19,KAIKALUR,Marie & Digestive Biscuits,,
2021-10-19,KAIKALUR,Oats & Porridge,,
2021-10-19,KAIKALUR,Adult Health Drinks,,
2021-10-19,KAIKALUR,Face Creams & Moisturisers,,
2021-10-19,KAIKALUR,Agarbatti & Dhoop,,
2021-10-19,KAIKALUR,Dishwash Scrub Pads,,
2021-10-19,KAIKALUR,Candies & Toffees,,
2021-10-19,KAIKALUR,Mosquito Repellents,,
2021-10-19,KAIKALUR,Insect Control,,
2021-10-19,KAIKALUR,Glucose & Milk Biscuits,,
2021-10-19,KAIKALUR,Rusk & Khari,,
2021-10-19,KAIKALUR,Pure Cow Ghee,,
2021-10-19,KAIKALUR,Honey,,
2021-10-19,KAIKALUR,"Broom, Mop & Wiper",,
2021-10-19,KAIKALUR,Pickles,,
2021-10-19,KAIKALUR,Digestive Care,,
2021-10-19,KAIKALUR,Sanitary Pads,,
2021-10-19,KAIKALUR,Other Flavoured Drinks,,
2021-10-19,KAIKALUR,Ready Mixes,,
2021-10-19,KAIKALUR,Diaries & Notebooks.,,
2021-10-19,KAIKALUR,Soya Chunks,,
2021-10-19,KAIKALUR,Fabric Softeners,,
2021-10-19,KAIKALUR,Air Fresheners,,
2021-10-19,KAIKALUR,Sabudana,,
2021-10-19,KAIKALUR,Dates,,
2021-10-19,KAIKALUR,Flavoured Milk,,
2021-10-19,KAIKALUR,Besan & Sattu,,
2021-10-19,KAIKALUR,Foot Care,,
2021-10-19,KAIKALUR,Other Atta,,
2021-10-19,KAIKALUR,Hair Colors & Dyes,,
2021-10-19,KAIKALUR,Chocolate Gift Packs,,
2021-10-19,KAIKALUR,Battery,,
2021-10-19,KAIKALUR,Mints & Gums,,
2021-10-19,KAIKALUR,Pain Relief,,
2021-10-19,KAIKALUR,Sugar,,
2021-10-19,KAIKALUR,Crafts Glues,,
2021-10-19,KAIKALUR,Soups,,
2021-10-19,KAIKALUR,Milk Shakes,,
2021-10-19,KAIKALUR,Lamp & Lamp Oil,,
2021-10-19,KAIKALUR,"Buckets, Mugs & Tubs",,
2021-10-19,KAIKALUR,Soda,,
2021-10-19,KAIKALUR,Chutney,,
2021-10-19,KAIKALUR,Rice Bran Oil,,
2021-10-19,KAIKALUR,Moong Dal,,
2021-10-19,KAIKALUR,Toor (Arhar) Dal,,
2021-10-19,KAIKALUR,Cleaning Brush & Utilities,,
2021-10-19,KAIKALUR,Dry Fruit Gift Packs,,
2021-10-19,KAIKALUR,Diapers & Pants,,
2021-10-19,KAIKALUR,Whole Spices,,
2021-10-19,KAIKALUR,Poha,,
2021-10-19,KAIKALUR,Almonds (Badam),,
2021-10-19,KAIKALUR,Raisins,,
2021-10-19,KAIKALUR,Walnuts,,
2021-10-19,KAIKALUR,Detergent Liquids,,
2021-10-19,KAIKALUR,Camphor,,
2021-10-19,KAIKALUR,Stain Removers,,
2021-10-19,KAIKALUR,Maida,,
2021-10-19,KAIKALUR,Sooji & Rava,,
2021-10-19,KAIKALUR,Bulbs & LED,,
2021-10-19,KAIKALUR,Hair Removal,,
2021-10-19,KAIKALUR,Sona Masoori Rice,,
2021-10-19,KAIKALUR,Razors & Blades,,
2021-10-19,KAIKALUR,Namkeen,,
2021-10-19,KAIKALUR,Cashew Nuts,,
2021-10-19,KAIKALUR,Indian Mithai,,
2021-10-19,KAIKALUR,Groundnut Oil,,
2021-10-19,KAIKALUR,Idli & Dosa Rice,,
2021-10-19,KAIKALUR,Other Kitchen Essentials,,
2021-10-19,KAIKALUR,Pista,,
2021-10-19,KAIKALUR,First Aids,,
2021-10-19,KAIKALUR,Other Pooja Accessories,,
2021-10-19,KAIKALUR,Masoor Dal,,
2021-10-19,KAIKALUR,Urad Dal,,
2021-10-19,KAIKALUR,Peanuts,,
2021-10-19,KAIKALUR,Chana Dal,,
2021-10-19,KAIKALUR,Torch & Emergency Light,,
2021-10-19,KAIKALUR,Kolam Rice,,
2021-10-19,KAIKALUR,Jaggery,,
2021-10-19,KAIKALUR,Vanaspati,,
2021-10-19,KAIKALUR,Blended Oils,,
2021-10-19,KAIKALUR,Papad & Fryums,,
2021-10-19,KAIKALUR,Mustard Oil,,
2021-10-19,KAIKALUR,Orange Juices,,
2021-10-19,KAIKALUR,Tetra Pak Milk,,
2021-10-19,KAIKALUR,Other Juices,,
2021-10-19,KAIKALUR,Mix Fruit Juices,,
2021-10-19,KAIKALUR,Spreads,,
2021-10-19,KAIKALUR,Powdered Drink Mixes,,
2021-10-19,KAIKALUR,Face Cleansers & Toners,,
2021-10-19,KAIKALUR,Energy Drinks,,
2021-10-19,KAIKALUR,Baby Food & Cereals,,
2021-10-19,KAIKALUR,Soya Oil,,
2021-10-19,KAIKALUR,Other Dry Fruits & Nuts,,
2021-10-19,KAIKALUR,Olive Oil,,
2021-10-19,KAIKALUR,Vermicelli,,
2021-10-19,KAIKALUR,Infant Formulae,,
2021-10-19,KAIKALUR,Cold & Cough Remedies,,
2021-10-19,KAIKALUR,Protein Powders,,
2021-10-19,KAIKALUR,Other Oils,,
2021-10-19,KAIKALUR,Squashes & Syrups,,
2021-10-19,KAIKALUR,Indian Savouries,,
2021-10-19,KAIKALUR,"Pencils, Erasers & Sharpeners",,
2021-10-19,KAIKALUR,Conditioners,,
2021-10-19,KAIKALUR,Wipes,,
2021-10-19,KAIKALUR,Apple Juices,,
2021-10-19,KAIKALUR,Green Tea,,
2021-10-19,KAIKALUR,Muesli,,
2021-10-19,KAIKALUR,Sunscreen Lotions,,
2021-10-19,KAIKALUR,Cooking Paste & Puris,,
2021-10-19,KAIKALUR,Sauces,,
2021-10-19,KAIKALUR,Baked Snacks,,
2021-10-19,KAIKALUR,Loose Salt & Sugar,,
2021-10-19,KAIKALUR,Jeerasar Rice,,
2021-10-19,KAIKALUR,Bleaches,,
2021-10-19,KAIKALUR,Puffed Rice,,
2021-10-19,KAIKALUR,"Cakes, Muffins & Rolls",,
2021-10-19,KAIKALUR,Whole Wheat,,
2021-10-19,KAIKALUR,Broken Wheat (Daliya),,
2021-10-19,KAIKALUR,Other Rice Varieties,,
2021-10-19,KAIKALUR,Cookies,,
2021-10-19,KAIKALUR,Shaving Creams & Foams,,
2021-10-19,KAIKALUR,Sanitizers,,
2021-10-19,KAIKALUR,Multipurpose Cleaners,,
2021-10-19,KAIKALUR,Kabuli Chana,,
2021-10-19,KAIKALUR,Baking Needs,,
2021-10-19,KAIKALUR,Brown & Organic Ghee,,
2021-10-19,KAIKALUR,Herbs & Seasoning,,
2021-10-19,KAIKALUR,Miniket Rice,,
2021-10-19,KAIKALUR,Boiled Rice,,
2021-10-19,KAIKALUR,Aluminium Foils,,
2021-10-19,KAIKALUR,Onion,,
2021-10-19,KAIKALUR,Potato,,
2021-10-19,KAIKALUR,Coconut,,
2021-10-19,KAIKALUR,90 Days Pouch  Milk,,
2021-10-19,KAIKALUR,Sesame Oil,,
2021-10-19,KAIKALUR,Printing Paper,,
2021-10-19,KAIKALUR,Rajma,,
2021-10-19,KAIKALUR,Ragi Flour,,
2021-10-19,KAIKALUR,Other Pulses,,
2021-10-19,KAIKALUR,Other Cereals,,
2021-10-19,KAIKALUR,Coconut Oil,,
2021-10-19,KAIKALUR,Ponni Rice,,
2021-10-19,KAIKALUR,Table Butter,,
2021-10-19,KAIKALUR,Processed Cheese,,
2021-10-19,KAIKALUR,Cheese Slice,,
2021-10-19,KAIKALUR,Margarine,,
2021-10-19,KAIKALUR,Nuts & Seeds,,
2021-10-19,KAIKALUR,Deodorants,,
2021-10-19,KAIKALUR,Tin Paneer (Ambient),,
2021-10-19,KOLKATA,Pickles,,
2021-10-19,KOLKATA,Papad & Fryums,,
2021-10-19,KOLKATA,Whole Wheat,,
2021-10-19,KOLKATA,Baking Needs,,
2021-10-19,KOLKATA,Onion,,
2021-10-19,KOLKATA,Potato,,
2021-10-19,KOLKATA,Coconut,,
2021-10-19,KURNOOL,Baby Food & Cereals,,
2021-10-19,KURNOOL,Infant Formulae,,
2021-10-19,KURNOOL,Conditioners,,
2021-10-19,KURNOOL,Onion,,
2021-10-19,KURNOOL,Potato,,
2021-10-19,KURNOOL,Coconut,,
2021-10-19,MACHILIPATNAM,Basmati Rice,,
2021-10-19,MACHILIPATNAM,Wheat Atta,,
2021-10-19,MACHILIPATNAM,Sunflower Oil,,
2021-10-19,MACHILIPATNAM,Palm Oil,,
2021-10-19,MACHILIPATNAM,Salt,,
2021-10-19,MACHILIPATNAM,Blended Masalas,,
2021-10-19,MACHILIPATNAM,Powdered Spices,,
2021-10-19,MACHILIPATNAM,Cream Biscuits & Wafers,,
2021-10-19,MACHILIPATNAM,Other Biscuits & Cookies,,
2021-10-19,MACHILIPATNAM,Noodles,,
2021-10-19,MACHILIPATNAM,Chocos & Flakes,,
2021-10-19,MACHILIPATNAM,Chips,,
2021-10-19,MACHILIPATNAM,Chocolates,,
2021-10-19,MACHILIPATNAM,Ketchups,,
2021-10-19,MACHILIPATNAM,Jams & Preserves,,
2021-10-19,MACHILIPATNAM,Children Health Drinks,,
2021-10-19,MACHILIPATNAM,Instant Coffee,,
2021-10-19,MACHILIPATNAM,Roast & Ground Coffee,,
2021-10-19,MACHILIPATNAM,Dust Tea,,
2021-10-19,MACHILIPATNAM,Leaf Tea,,
2021-10-19,MACHILIPATNAM,Lassi,,
2021-10-19,MACHILIPATNAM,Pure Desi Ghee,,
2021-10-19,MACHILIPATNAM,Milk Powders,,
2021-10-19,MACHILIPATNAM,Condensed Milk,,
2021-10-19,MACHILIPATNAM,Milk Creams,,
2021-10-19,MACHILIPATNAM,Buttermilk,,
2021-10-19,MACHILIPATNAM,Packaged Water,,
2021-10-19,MACHILIPATNAM,Mango Drinks,,
2021-10-19,MACHILIPATNAM,Cold Drinks,,
2021-10-19,MACHILIPATNAM,Powders,,
2021-10-19,MACHILIPATNAM,Bathing Soaps,,
2021-10-19,MACHILIPATNAM,"Oils, Creams & Lotions",,
2021-10-19,MACHILIPATNAM,Hair Oils,,
2021-10-19,MACHILIPATNAM,Bleaches & Blues,,
2021-10-19,MACHILIPATNAM,Toothpastes,,
2021-10-19,MACHILIPATNAM,Tooth Powders,,
2021-10-19,MACHILIPATNAM,Toothbrushes,,
2021-10-19,MACHILIPATNAM,Toilet Cleaners,,
2021-10-19,MACHILIPATNAM,Dishwash Bars,,
2021-10-19,MACHILIPATNAM,Dishwash Liquids,,
2021-10-19,MACHILIPATNAM,Shampoos,,
2021-10-19,MACHILIPATNAM,Talcum Powders,,
2021-10-19,MACHILIPATNAM,Floor Cleaners,,
2021-10-19,MACHILIPATNAM,Hand Wash,,
